110,	75,	1,	2002,	0,	\N
111,	76,	1,	2002,	0,	\N
112,	77,	1,	2002,	0,	\N
113,	89,	1,	2002,	0,	\N
114,	91,	1,	2002,	0,	\N
115,	222,	1,	2002,	0,	\N
116,	98,	1,	2002,	0,	\N
117,	229,	1,	2002,	0,	\N
118,	99,	1,	2002,	0,	\N
119,	100,	1,	2002,	0,	\N
120,	101,	1,	2002,	0,	\N
121,	105,	1,	2002,	0,	\N
122,	107,	1,	2002,	0,	\N
123,	108,	1,	2002,	0,	\N
124,	110,	1,	2002,	0,	\N
125,	114,	1,	2002,	0,	\N
126,	115,	1,	2002,	0,	\N
127,	116,	1,	2002,	0,	\N
128,	117,	1,	2002,	0,	\N
129,	119,	1,	2002,	0,	\N
130,	121,	1,	2002,	0,	\N
131,	125,	1,	2002,	0,	\N
132,	88,	1,	2002,	0,	\N
133,	130,	1,	2002,	0,	\N
134,	230,	1,	2002,	0,	\N
135,	231,	1,	2002,	0,	\N
136,	138,	1,	2002,	0,	\N
137,	141,	1,	2002,	0,	\N
138,	143,	1,	2002,	0,	\N
139,	144,	1,	2002,	0,	\N
140,	157,	1,	2002,	0,	\N
141,	158,	1,	2002,	0,	\N
142,	169,	1,	2002,	0,	\N
143,	170,	1,	2002,	0,	\N
144,	171,	1,	2002,	0,	\N
145,	172,	1,	2002,	0,	\N
146,	175,	1,	2002,	0,	\N
147,	184,	1,	2002,	0,	\N
148,	191,	1,	2002,	0,	\N
149,	192,	1,	2002,	0,	\N
150,	196,	1,	2002,	0,	\N
151,	197,	1,	2002,	0,	\N
152,	207,	1,	2002,	0,	\N
153,	209,	1,	2002,	10,	\N
154,	209,	1,	2002,	33,	\N
155,	210,	1,	2002,	0,	\N
156,	213,	1,	2002,	0,	\N
157,	88,	3,	2001,	0,	\N
158,	130,	3,	2001,	0,	\N
159,	168,	3,	2001,	0,	\N
160,	210,	3,	2001,	0,	\N
161,	213,	3,	2001,	0,	\N
162,	89,	3,	2001,	0,	\N
163,	91,	3,	2001,	0,	\N
164,	222,	3,	2001,	0,	\N
